param	n	pearson	p	sigma
yhfT	589	-0.08514	0.5625	2.0703
yhfU	589	-0.3172	3.599e-13	8.1022
php	589	-0.2658	7.036e-09	6.6804
yhfX	589	-0.2447	2.242e-07	6.1133
yhfY	589	-0.2949	3.41e-11	7.4771
yhfZ	589	-0.3785	1.249e-19	9.9078
dam	589	0.2679	4.907e-09	6.7369
damX	589	-0.1736	0.002358	4.2706
hofQ	589	-0.2635	1.051e-08	6.6170
hofP	589	-0.3344	7.874e-15	8.5966
hofO	589	-0.3059	3.82e-12	7.7833
hofN	589	-0.2714	2.639e-09	6.8332
hofM	589	-0.003582	0.948	0.0868
yrfF	589	-0.2364	7.88e-07	5.8951
yrfG	589	-0.06357	0.8303	1.5433
hslR	589	-0.1003	0.993	2.4425
hslO	589	0.1411	0.0521	3.4542
yhgE	589	-0.2181	1.076e-05	5.4154
envZ	589	0.1196	0.2801	2.9193
greB	589	-0.2208	7.45e-06	5.4852
yhgF	589	0.2594	2.088e-08	6.5070
feoA	589	-0.06565	0.8163	1.5941
yhgA	589	-0.3464	4.632e-16	8.9479
gntX	589	0.3459	5.328e-16	8.9309
nfuA	589	-0.02745	0.9354	0.6653
rtcB	589	0.195	0.0002106	4.8157
glpG	589	0.3225	1.138e-13	8.2538
yzgL	589	0.1612	0.008314	3.9579
yhgN	589	-0.3307	1.841e-14	8.4889
gntU_2	589	-0.2452	2.075e-07	6.1266
yhhW	589	-0.06186	0.8406	1.5017
yhhX	589	0.01263	0.9457	0.3061
yhhY	589	-0.3407	1.822e-15	8.7796
yhhZ	589	-0.3405	1.893e-15	8.7749
yrhA	589	-0.2999	1.278e-11	7.6158
yrhB	589	-0.3613	1.165e-17	9.3881
yhhA	589	0.07932	0.6703	1.9279
yhhK	589	0.09397	0.301	2.2869
ftsX	589	0.2688	4.219e-09	6.7605
ftsE	589	-0.001142	0.9482	0.0277
ftsY	589	0.2709	2.899e-09	6.8187
rsmD	589	-0.2688	4.185e-09	6.7618
yhhL	589	-0.3167	3.941e-13	8.0902
yhhM	589	0.2522	6.746e-08	6.3153
yhhN	589	0.174	0.002256	4.2811
tusA	589	-0.1225	0.227	2.9913
yhhQ	589	-0.1395	0.05999	3.4124
dcrB	589	0.1001	0.005369	2.4374
yhhS	589	-0.3126	9.376e-13	7.9743
yhhT	589	0.005338	0.9478	0.1293
rhsB	589	-0.3307	1.817e-14	8.4905
yhhH	589	-0.331	1.712e-14	8.4981
yhhJ	589	-0.04231	0.9125	1.0260
rbbA	589	-0.2514	7.735e-08	6.2926
yhiI	589	-0.2882	1.234e-10	7.2920
yhiJ	589	-0.3144	6.443e-13	8.0246
yhiK	589	-0.07047	0.7771	1.7115
yhiL	589	-0.2229	5.564e-06	5.5400
yhiM	589	0.0567	0.8669	1.3759
yhiN	589	-0.07822	0.6867	1.9010
uspB	589	-0.001133	0.9482	0.0275
uspA	589	0.2085	3.893e-05	5.1641
rsmJ	589	0.215	1.647e-05	5.3335
prlC	589	0.1679	0.004255	4.1270
rlmJ	589	-0.2827	3.464e-10	7.1403
yhiS_1	589	-0.2863	1.782e-10	7.2383
slp	589	0.1369	0.074	3.3495
yhiD	589	-0.02176	0.9405	0.5273
hdeB	589	0.05306	0.8817	1.2873
hdeA	589	0.09166	0.3846	2.2300
hdeD	589	-0.06289	0.8345	1.5268
mdtE	589	0.01585	0.9443	0.3839
mdtF	589	-0.07477	0.7319	1.8167
yhjA	589	-0.2044	6.589e-05	5.0580
yhjD	589	-0.1956	0.0001948	4.8323
yhjE	589	-0.4668	5.143e-32	12.7881
yhjG	589	0.1937	0.0002456	4.7828
yhjH	589	0.0301	0.9325	0.7296
yhjJ	589	0.3554	5.111e-17	9.2135
yhjK	589	0.303	6.78e-12	7.7041
bcsC	589	0.06035	0.8491	1.4649
bcsZ	589	-0.07638	0.7121	1.8559
bcsB	589	-0.1596	0.009721	3.9175
bcsA	589	-0.1258	0.178	3.0724
bcsQ	589	-0.3169	3.78e-13	8.0957
yhjR	589	0.2918	6.241e-11	7.3906
bcsE	589	-0.2446	2.261e-07	6.1119
bcsF	589	-0.3494	2.255e-16	9.0353
bcsG	589	-0.2419	3.459e-07	6.0389
yhjV	589	-0.3703	1.118e-18	9.6595
yhjX	589	-0.2048	6.198e-05	5.0704
yhjY	589	-0.1809	0.001068	4.4563
tag	589	-0.2273	2.99e-06	5.6551
yiaC	589	-0.2536	5.388e-08	6.3525
yiaD	589	-0.09461	0.2758	2.3024
yiaF	589	0.3539	7.512e-17	9.1675
insJ	589	-0.3446	7.284e-16	8.8926
insK	589	-0.3477	3.406e-16	8.9854
wecH	589	-0.2318	1.56e-06	5.7733
yiaA	589	-0.1133	0.4339	2.7636
yiaB	589	-0.2473	1.478e-07	6.1841
bax	589	0.03504	0.9258	0.8495
ysaA	589	-0.3467	4.31e-16	8.9567
yiaL	589	-0.2217	6.559e-06	5.5092
sgbU	589	-0.2766	1.058e-09	6.9730
yiaT	589	-0.3572	3.261e-17	9.2668
yiaV	589	-0.3131	8.435e-13	7.9885
yiaW	589	-0.1655	0.005435	4.0660
yiaY	589	-0.1611	0.008378	3.9560
selB	589	-0.1531	0.01808	3.7527
yibF	589	0.1422	0.04772	3.4798
yibA	589	-0.3638	6.149e-18	9.4627
yibJ	589	-0.2681	4.761e-09	6.7416
yibG	589	-0.2901	8.609e-11	7.3442
yibH	589	0.2721	2.335e-09	6.8521
yibI	589	0.3428	1.102e-15	8.8417
yibL	589	-0.3023	7.888e-12	7.6831
trmL	589	-0.2124	2.321e-05	5.2666
secB	589	0.2352	9.416e-07	5.8636
